country,state,city,location_x,location_y
United States,Tennessee,Oak Ridge,-84.251024,36.017239
United States,Minnesota,Brainerd,-94.193437,46.358912
United States,Minnesota,Baxter ,-94.235284,46.352551
United States,Ohio,Lancaster,-82.603853,39.712631
United States,New Hampshire,Bedford,-71.525849,42.938268
United States,New Jersey,Pennington,-74.79688,40.3494
United States,Kentucky,Murray ,-88.302435,36.609868
United States,Pennsylvania,Murrysville,-79.696788,40.430121
United States,Ohio,Medina,-81.869513,41.134636
United States,Pennsylvania,Indiana,-79.155021,40.621852
United States,Pennsylvania,Carlisle,-77.189254,40.201689
United States,North Carolina,Zebulon,-78.314111,35.821835
United States,Pennsylvania,Indiana,-79.159344,40.610507
United States,Indiana,Gary,-87.344853,41.595883
United States,Virginia,Purcellville,-77.703843,39.136603
United States,Pennsylvania,Slippery Rock,-80.050842,41.062533
United States,Nebraska,Eagle,-96.432729,40.816121
United States,Nebraska,Bassett,-99.536625,42.582541
United States,Nebraska,Beatrice,-96.747301,40.273594
United States,Nebraska,Beaver City,-99.827615,40.138332
United States,Nebraska,Broken Bow ,-99.63987,41.40541
United States,Nebraska,West Point ,-96.705918,41.837741
United States,Nebraska,Dorchester,-97.114886,40.64738
United States,Nebraska,Grand Island,-98.357951,40.922193
United States,Nebraska,David City ,-97.129955,41.264759
United States,Nebraska,Tekamah ,-96.222387,41.775832
United States,Nebraska,Stanton ,-97.212686,41.948007
United States,Nebraska,Plattsmouth ,-95.894144,41.005653
United States,Nebraska,Plainview ,-97.787145,42.353346
United States,Nebraska,Henderson,-97.811491,40.778922
United States,Kentucky,Flemingsburg,-83.759523,38.421407
United States,Iowa,Rock Valley,-96.300832,43.200223
United States,Kentucky,Maysville,-83.80842,38.615073
United States,Rhode Island,Providence,-71.4316,41.814767
United States,Rhode Island,Providence,-71.41892,41.801869
United States,Rhode Island,Providence,-71.400031,41.826418
United States,Rhode Island,Central Falls,-71.39565,41.885605
United States,Rhode Island,Providence ,-71.461775,41.8118
United States,Rhode Island,Pawtucket,-71.387274,41.877734
United States,Rhode Island,West Warwick,-71.516856,41.713691
United States,Rhode Island,Woonsocket ,-71.504321,42.007654
United States,Rhode Island,Providence,-71.42853,41.811066
United States,Rhode Island,Narragansett,-71.488239,41.380339
United States,Rhode Island,Wakefield,-71.49696,41.428192
United States,Rhode Island,Cranston,-71.391872,41.767977
United States,Texas,Elgin,-97.370756,30.346425
United States,California,San Andreas,-120.66782,38.191243
United States,Louisiana,Marksville,-92.066002,31.12742
United States,Tennessee,Maynardville,-83.8228,36.237614
United States,New York,Sodus,-77.062753,43.237102
United States,New Jersey,Jersey City,-74.042798,40.744736
United States,Alabama,Birmingham,-86.666868,33.40644
United States,Wisconsin,Ridgeway,-89.993242,42.998521
United States,New Mexico,Hillsboro ,-107.5691,32.920178
United States,Ohio,Blue Ash,-84.389892,39.251798
United States,Maryland,Berlin ,-75.219388,38.325383
United States,California,El Monte,-118.03995,34.075484
United States,Michigan,Lake City,-85.296147,44.292952
United States,Oklahoma,Oklahoma City,-97.52482,35.501891
United States,Virginia,Lynchburg,-79.140379,37.411517
United States,California,Chico,-121.84046,39.728991
United States,Massachusetts,Lowell,-71.312805,42.641166
United States,New York,New York ,-74.003474,40.706222
United States,Illinois,Vernon Hills,-87.962265,42.241619
United States,Arkansas,Eureka Springs,-93.746149,36.398616
United States,Arkansas,Eureka Springs,-93.741728,36.404902
United States,California,Twentynine Palms,-116.05894,34.13576
United States,Oregon,Hillsboro ,-122.99036,45.524375
United States,Oregon,Hillsboro,-122.91755,45.534675
United States,Wyoming,Torrington ,-104.18407,42.064541
United States,Idaho,Donnelly,-116.07672,44.730034
United States,Vermont,Burlington,-73.215415,44.46973
United States,Virginia,Amherst,-79.048809,37.583162
United States,Illinois,Bethalto,-90.053468,38.902967
United States,Wisconsin,Mauston,-90.082332,43.801304
United States,Connecticut,Manchester,-72.518324,41.781503
United States,Georgia,Decatur,-84.296808,33.778773
United States,Georgia,Decatur,-84.304799,33.760143
United States,North Carolina,Charlotte ,-80.854493,35.262802
United States,Indiana,Bloomington ,-86.491053,39.164192
United States,Indiana,Shelbyville,-85.780478,39.52422
United States,California,Murphys,-120.46381,38.13686
United States,Wisconsin,Sturtevant,-87.888847,42.697348
United States,Wisconsin,Caledonia,-87.822883,42.769605
United States,Georgia,Suwanee,-84.063354,34.05617
United States,Massachusetts,Brockton,-71.018866,42.082799
United States,New York,Bronx,-73.891978,40.849357
United States,New York,New York,-73.943475,40.823804
United States,Virginia,Richmond,-77.610901,37.519378
United States,Kentucky,Greensburg,-85.482096,37.244082
United States,Minnesota,Duluth,-92.093948,46.788805
United States,California,San Diego ,-117.16757,32.723123
United States,California,Camarillo ,-119.04157,34.216518
United States,Illinois,Bloomington,-88.996165,40.478127
United States,Louisiana,Shreveport,-93.744962,32.514186
United States,Michigan,Ann Arbor,-83.700262,42.197733
United States,Indiana,Evansville,-87.594742,37.980191
United States,Louisiana,Lafayette,-92.031394,30.211573
United States,Tennessee,White House,-86.653004,36.467683
United States,Maryland,Kensington,-77.073728,39.026476
United States,New Jersey,Little Falls,-74.234683,40.882225
United States,Massachusetts,Natick,-71.341206,42.290237
United States,California,Playa Vista,-118.41662,33.975922
United States,California,Los Angeles,-118.44653,34.061784
United States,New York,Waterloo,-76.865814,42.903737
United States,California,Costa Mesa,-117.92709,33.694867
United States,New York,Ovid,-76.822157,42.676729
United States,Louisiana,Baton Rouge,-91.106845,30.442682
United States,Tennessee,Clarksville,-87.24862,36.433597
United States,Georgia,Winder,-83.721123,33.993074
United States,Texas,Kingwood,-95.184629,30.047327
